gene,ctd,number of occurrences
CA12,NDE,1965
TBC1D9B,NDE,1958
LOC105375842,NF,1947
LOC101926959,NF,1943
LOC101928622,NF,1942
LOC107985700,NF,1942
LOC105374487,NF,1938
HS6ST2,NDE,1917
MIR4535,NF,1898
LOC105376015,NF,1893
WDR38,NDE,1890
LINC01681,NF,1890
RPL35,NF,1890
ACVR1,NDE,1863
LOC105370112,NF,1857
LOC105373138,NF,1853
LOC105372371,NF,1844
LOC107986133,NF,1835
PCDHB1,NF,1834
LOC101926905,NF,1834
POLR2A,NDE,1833
SLC35G6,NF,1833
ZBTB4,NDE,1833
ZNF25,NDE,1826
ZBED4,NDE,1824
PYGB,NDE,1820
IFFO1,NF,1818
ARFGEF3,NDE,1785
DCAF8L2,NF,1781
FLJ32742,NF,1781
LOC643441,NF,1776
LOC105378640,NF,1773
PBOV1,NF,1773
CAPN6,NDE,1741
SSPN,NDE,1719
LOC101928554,NF,1719
APEX2,NDE,1712
TMEM86A,NDE,1710
MCTS1,NDE,1698
ACSM6,NF,1692
LOC105376634,NF,1690
LOC105373298,NF,1688
LOC107984387,NF,1666
RIN2,NDE,1662
LOC107987276,NF,1650
ALB,NDE,1640
NRXN2,NDE,1635
LOC107984337,NF,1633
LINC01487,NF,1629
TBRG4,NDE,1629
DBF4B,NDE,1622
LOC105378247,NF,1622
LOC107985044,NF,1622
SNORA5B,NF,1600
RAB33A,NDE,1600
TADA3,NF,1580
ASPG,NDE,1568
CCAR1,NDE,1566
RNPS1,NDE,1562
LOC105370807,NF,1562
LOC102723546,NF,1562
VSIG1,NDE,1555
IL1RAPL2,NDE,1554
PEBP4,NDE,1544
UPF3B,NDE,1543
PCDH19,NDE,1531
GTF2IP7,NF,1527
ST13,NDE,1525
LOC101927026,NF,1518
AIFM1,NDE,1512
LOC105375723,NF,1497
TGFB2,NDE,1492
RTL9,NF,1488
LIPE-AS1,NDE,1477
ANKRD13C,NDE,1475
CTXN2,NF,1473
RFC1,NDE,1451
ELFN1,NDE,1450
LOC105375124,NF,1444
LOC105370101,NF,1433
TSPAN6,NDE,1427
LOC101929237,NF,1419
LOC105371075,NF,1415
LOC105371195,NF,1409
LINC01932,NF,1408
COL4A5,NDE,1404
STAT5A,NDE,1360
LOC107984978,NF,1360
LOC107985738,NF,1356
NKAP,NDE,1356
IFNLR1,NDE,1356
LOC107985981,NF,1348
LOC107985694,NF,1343
GKN1,NF,1331
ABCC12,NDE,1327
LRIG1,NDE,1305
LOC105373288,NF,1305
RNF40,NDE,1304
CSTF3-AS1,NF,1299
SNORA31,NF,1293
TPT1,NDE,1293
SNORA31B,NF,1293
LOC105377459,NF,1293
GYPE,NF,1284
LOC283140,NF,1251
CXCL17,NF,1249
UBR1,NDE,1247
PDXDC2P-NPIPB14P,NDE,1237
KIAA1257,NDE,1235
EFCC1,NF,1231
LOC107985680,NF,1215
AIM1,NF,1212
LOC101927405,NF,1212
TCF7L1,NDE,1210
LOC102724579,NF,1209
LINC00513,NDE,1201
NRK,NDE,1200
LOC105370906,NF,1199
ATG4A,NDE,1191
TGFB2-OT1,NF,1190
,NF,1180
MECP2,NDE,1180
LOC102724917,NF,1174
FAM9A,NF,1171
LOC107985189,NF,1164
OVOS2,NDE,1158
RBM10,NF,1150
SRPX,NDE,1147
LOC107985709,NF,1147
AKR1A1,NDE,1146
SCML2,NDE,1141
PAGR1,NDE,1120
MVP,NDE,1119
PAIP2,NDE,1117
CXCL6,NDE,1113
VTI1A,NDE,1112
LINC01518,NF,1108
TUBA8,NDE,1105
EPSTI1,NDE,1104
KAT6B,NDE,1102
KRBOX4,NDE,1101
TMC3-AS1,NF,1101
STARD5,NDE,1096
RC3H1,NDE,1089
LOC101929165,NF,1085
LOC103344931,NF,1083
OR5V1,NF,1078
LOC105370178,NF,1064
TMEM35A,NDE,1063
USP46,NDE,1058
XKR4,NDE,1054
C9orf43,NF,1048
RAB41,NF,1046
ARR3,NF,1046
ST3GAL2,NDE,1043
KRT73,NF,1037
KRT73-AS1,NF,1037
CD1E,NF,1037
ACSL1,NDE,1028
RASD1,NDE,1025
LOC107986961,NF,1014
SCCPDH,NDE,1012
PMVK,NDE,1010
LOC105371449,NF,1010
LOC107985373,NF,1004
ATP1B4,NF,992
ZBTB26,NDE,980
NOL9,NDE,977
LOC105375843,NF,976
LINC01807,NF,975
LOC105373921,NF,971
OTUB1,NDE,968
LOC105373304,NF,960
RHOBTB2,NDE,951
LOC107984124,NF,951
XKR6,NDE,948
FIRRE,NF,945
TBL1X,NDE,944
CTNNBIP1,NDE,943
DGKZ,NDE,943
FGF13,NDE,934
LOC105377697,NF,933
ZNF674,NF,932
LOC101928912,NF,930
MAGEA11,NDE,930
KRT77,NF,917
POTEI,NF,909
MIR598,NF,909
PPFIA4,NDE,909
LOC105371687,NF,909
LOC107986962,NF,908
GRHL2,NDE,908
GAGE1,NF,906
QTRT1,NDE,901
TSPEAR,NDE,894
ALDH1A1,NDE,894
DCAF8,NDE,879
CHRDL1,NDE,878
SLC2A3,NDE,878
STEAP1B,NDE,874
GPHN,NDE,873
FAM9B,NF,869
ZC3H6,NDE,869
TMEM178A,NDE,866
LOC100287049,NF,859
LINC02167,NF,848
MPG,NDE,848
SDR42E2,NF,845
LOC105378199,NF,834
SAP30L,NDE,833
VTI1B,NDE,830
PLCL1,NDE,828
LOC105373828,NF,828
LOC105370174,NF,828
GPT2,NDE,826
DACH2,NDE,824
DYNC1I2,NDE,822
LINC02133,NF,819
ITGAL,NDE,818
LINC02192,NF,816
SRGAP1,NDE,813
LOC441728,NF,812
MAP7D3,NDE,803
BLOC1S6,NDE,803
APEX1,NDE,802
CIB1,NDE,800
NGRN,NDE,800
HTR3B,NDE,796
PIP4P1,NDE,794
TRPC5,NF,793
LINC00613,NF,787
ZNF716,NF,783
TMEM87A,NDE,777
LOC105369801,NF,775
APOB,NDE,775
ANKRD27,NDE,769
LOC101927904,NF,765
EXTL3,NF,764
AR,NDE,761
LOC105371839,NF,759
C1QBP,NDE,755
IL1RAPL1,NDE,750
OPHN1,NDE,749
LOC105370984,NF,743
LOC105378066,NF,743
LOC105374911,NF,742
MIR1254-1,NF,741
DPH7,NDE,737
LYZL4,NDE,734
CD160,NF,731
RAI2,NDE,731
CTCFL,NDE,726
COLGALT1,NF,725
LOC105372321,NF,725
MRNIP,NDE,721
URGCP,NDE,718
LOC107986791,NF,718
LOC105379292,NF,717
RACGAP1,NDE,715
COL4A6,NDE,709
LOC107984533,NF,708
ZNF136,NDE,708
ZNF702P,NDE,706
LOC105372453,NF,706
SLC22A16,NDE,705
LOC105377938,NF,694
LOC105375330,NF,694
LOC105375822,NF,686
LOC102723906,NF,686
RABGAP1,NDE,681
FMN1,NDE,679
LOC105370795,NF,672
BRD3OS,NDE,665
LOC101927620,NF,664
FCAMR,NF,657
LOC105377599,NF,651
CHRNA4,NDE,650
LOC100130587,NF,650
STAT6,NDE,648
DLX1,NDE,648
ANKAR,NF,647
CEBPA,NDE,646
OSGEPL1,NDE,646
CEBPA-AS1,NF,646
REPS2,NDE,642
C9orf152,NF,640
LINC02513,NF,640
FSIP1,NDE,639
POTEKP,NF,639
BCDIN3D-AS1,NF,636
NCKAP5L,NF,635
LOC107985995,NF,634
RANBP2,NDE,634
SLC16A14,NDE,634
USB1,NDE,633
LOC100507562,NF,625
HNF1B,NDE,621
SH3RF3,NDE,621
TSPEAR-AS1,NF,615
JCHAIN,NDE,615
LOC105375975,NF,610
CGRRF1,NDE,610
ASH2L,NDE,606
SH3RF3-AS1,NF,605
NDP,NDE,605
LVRN,NDE,602
CIT,NDE,600
ABCG1,NDE,600
LOC105370537,NF,598
CASK,NDE,595
SYN1,NDE,595
LOC105373187,NF,594
LOC101927211,NF,594
ZNF451,NDE,594
LOC107986256,NF,594
LOC105370785,NF,594
GOLT1B,NDE,590
PCYT1B,NDE,589
LOC107985352,NF,588
SLC16A4,NDE,586
LOC105373739,NF,585
B4GALT5,NDE,583
C1orf194,NF,582
LINC01776,NF,579
LOC105372686,NF,573
ABCB7,NDE,573
GAGE10,NF,569
CCDC13,NF,569
LOC105378332,NF,565
LOC101928782,NF,565
CCDC13-AS1,NF,565
MGC4859,NF,564
LINC01137,NDE,564
LOC100131472,NF,562
C9orf85,NF,560
CD1C,NDE,559
CD1B,NF,559
STATH,NF,556
LOC105375860,NF,555
FAM133A,NDE,552
OR11A1,NF,551
PHF6,NDE,550
ADAM32,NF,550
LOC107985704,NF,545
KMT2A,NDE,542
DMD,NDE,541
MYO1B,NDE,541
OR2AP1,NF,541
LOC105378333,NF,534
DEGS2,NDE,534
LINC02366,NF,532
SGSH,NDE,532
SLC26A11,NDE,532
LOC105370979,NF,527
RGMA,NDE,527
MTG1,NDE,526
LOC105375253,NF,526
LOC107985705,NF,524
LOC105372814,NF,524
UBE2L3,NDE,524
OR12D1,NF,521
R3HCC1L,NF,521
LOC400710,NF,520
GAB2,NDE,519
C8orf44-SGK3,NF,509
SGK3,NDE,509
FBXO33,NDE,509
LOC102724734,NF,508
NLGN4X,NDE,508
GSE1,NDE,508
PYGL,NDE,506
PRAME,NDE,506
BRD3,NDE,505
GOLPH3,NDE,502
LINC00374,NF,501
LINC00398,NF,496
ERBIN,NDE,495
LOC105369838,NF,494
C1orf158,NF,494
CLCN4,NDE,492
PPIF,NDE,490
NOX1,NDE,484
KLHL28,NDE,483
LOC105377992,NF,479
LOC107984830,NF,476
SAMD15,NDE,473
C9orf92,NF,473
CENPW,NDE,472
DNA2,NDE,471
ZNF250,NDE,471
KIAA0319L,NDE,469
HCFC1,NDE,468
LOC107984997,NF,468
ADAM9,NDE,464
FOXP3,NDE,464
TDRD9,NDE,464
PPM1D,NDE,463
ACRV1,NF,463
LOC105373310,NF,460
TGIF1,NDE,455
LOC107985677,NF,454
LOC105371356,NF,453
LOC105377535,NF,453
POLQ,NDE,452
LINC01281,NF,450
ZNF185,NDE,446
LINC00593,NF,444
LOC101927762,NF,442
SYP,NDE,442
CXorf56,NF,440
LOC100130548,NF,440
APOOL,NDE,440
LOC340357,NF,440
CTNND1,NDE,440
LINC00681,NF,440
TMX2-CTNND1,NF,440
LOC102546294,NF,437
KY,NDE,435
LOC105375603,NF,433
LOC105375602,NF,433
GPM6B,NDE,431
FNDC8,NF,429
LOC105369402,NF,428
SCAMP2,NDE,426
LOC100129055,NF,425
LOC105377095,NF,423
PCYT1B-AS1,NF,421
MAN2A2,NDE,417
SPATA7,NDE,415
CEPT1,NDE,413
LOC107985335,NF,412
LINC00906,NF,412
LOC102724958,NF,412
LOC105374701,NF,411
CDC27,NDE,410
LOC105370615,NF,408
NAT8,NDE,406
STC2,NDE,404
ATP6V1C2,NDE,404
C4orf22,NF,402
ODR4,NDE,402
ZNF248,NDE,399
LOC105375334,NF,399
RABEPK,NDE,397
LOC105369867,NF,397
MORC4,NDE,397
ZNF551,NF,396
LOC105378334,NF,394
LOC100379224,NF,394
ZNF224,NDE,394
LOC105374137,NF,394
LOC105370452,NF,391
OAT,NDE,391
VAC14,NF,386
LINC01676,NF,386
LOC105377543,NF,385
MAD1L1,NDE,382
GUCY1A3,NDE,380
LOC101927503,NF,379
CHEK1,NDE,376
WWOX,NDE,375
TLR8-AS1,NF,373
PTCH2,NDE,373
LOC105372049,NF,372
PELP1,NF,371
DDX60,NDE,370
CDK6,NDE,367
ZNF440,NDE,366
LOC101927497,NF,365
GPR34,NF,365
LOC107986109,NF,364
LOC105374024,NF,364
PTCHD1,NDE,363
GHRH,NDE,362
GKAP1,NDE,359
SNORD70B,NF,357
NOP58,NDE,357
DGCR5,NDE,357
DGCR9,NF,357
GPSM3,NDE,356
ZNF473,NDE,356
MRPS21,NF,354
LOC105371197,NF,354
LOC105377544,NF,351
KLHL20,NDE,350
TLR8,NF,349
ZNF675,NDE,349
LOC105378043,NF,348
VGLL1,NDE,344
LOC102724047,NF,341
RAB9B,NDE,340
SLC5A12,NDE,339
LOC105370759,NF,337
FAM155B,NDE,335
SMIM14,NDE,335
UBE2J1,NDE,335
LINC02042,NF,333
ERV3-1-ZNF117,NF,330
VNN3,NDE,330
CTSL3P,NF,328
DARS,NDE,328
RERE,NDE,327
ANOS1,NDE,326
LOC107986855,NF,325
LOC105373180,NF,325
CSMD1,NDE,324
LOC105370740,NF,324
LOC107984780,NF,324
LOC105377993,NF,324
CD226,NF,323
TKT,NDE,323
LOC107984089,NF,321
NPFFR1,NF,320
ACOT9,NDE,320
HBD,NDE,320
PIKFYVE,NDE,317
ERV3-1,NF,317
UNQ6494,NDE,317
SEL1L,NDE,317
LOC107985690,NF,315
MIR1276,NF,315
SKA1,NDE,315
KLHL25,NDE,315
LOC105371755,NF,314
GNL3L,NDE,314
MYF6,NDE,313
LGR5,NDE,312
TRPV1,NDE,312
TEX22,NF,310
LOC107986839,NF,309
LOC107986838,NF,309
NDP-AS1,NF,306
SPX,NDE,304
LOC107985669,NF,304
DMGDH,NDE,303
LOC105370340,NF,302
LOC105369632,NF,299
DSTNP2,NF,299
MAGEA10,NDE,298
MAGEA10-MAGEA5,NF,298
MYCBP2,NDE,298
SPRR1A,NDE,297
USPL1,NDE,297
KCNJ2,NDE,297
AFF2,NDE,296
IGHMBP2,NDE,296
MRPL21,NDE,296
LOC105373428,NF,295
PIK3R3,NDE,294
LOC110117498-PIK3R3,NF,294
BACH2,NDE,294
SCFD2,NDE,293
DCTN3,NDE,292
LOC105376600,NF,292
CDH18-AS1,NF,292
TIGAR,NDE,292
LOC105369833,NF,291
LOC105377791,NF,291
FAM172A,NDE,291
GNA13,NDE,291
STN1,NDE,289
RAP2C-AS1,NF,286
LINC00702,NF,284
LOC105376272,NF,284
DCAF1,NDE,284
EZH2,NDE,284
MAPKAP1,NDE,284
NTM,NDE,283
DIAPH2,NDE,283
AVPR2,NDE,282
PCDH11X,NDE,281
LOC105369140,NF,280
NOBOX,NF,279
FBXO36,NF,278
LOC101928658,NF,278
TMEM62,NDE,277
ASB13,NDE,276
WASHC5,NF,275
CEP63,NDE,274
LOC105371754,NF,273
LOC107984181,NF,273
TCEANC,NDE,272
LOC105372141,NF,272
ATP8B1,NDE,272
LOC107985657,NF,272
CTNNBL1,NDE,270
FAM214B,NDE,270
FBF1,NF,270
F9,NDE,269
VAC14-AS1,NF,268
FAM78B,NDE,266
LOC100506083,NF,264
ASTN2,NDE,264
LOC105379618,NF,263
LOC100287792,NF,263
LOC105374459,NF,263
BREA2,NF,263
RAG2,NF,260
C11orf74,NF,260
DGAT2L6,NF,259
CLUL1,NDE,259
LOC105371952,NF,259
TENM1,NDE,259
ORC2,NDE,257
LOC107985484,NF,257
ZFP30,NDE,257
LOC101929680,NF,256
SCN9A,NDE,255
SMIM29,NDE,254
HMGA1,NDE,254
TPTE2P5,NF,253
SLC25A15,NDE,253
BBOX1-AS1,NF,251
LRRC75A,NDE,250
ANKDD1B,NF,249
APPL1,NDE,248
LOC101929710,NF,248
RCN1,NDE,247
FRMPD4,NF,247
SLC28A2,NDE,246
LOC101928414,NF,246
ADCYAP1,NDE,242
MAP4K5,NDE,241
POLR3H,NDE,240
PIGA,NDE,239
LOC105370339,NF,239
HDX,NDE,238
SNRPB2,NDE,238
ZNF257,NF,238
LOC105377276,NF,237
SPATA5,NF,236
UBE2W,NDE,236
ATMIN,NDE,235
LOC107984380,NF,235
HELQ,NDE,234
ELOF1,NDE,234
CASP12,NDE,233
EPGN,NF,232
LOC101927404,NF,231
LOC107985178,NF,231
LOC105378429,NF,230
LRRCC1,NDE,230
PLA2G4F,NF,229
KPRP,NF,229
LOC107986424,NF,227
CLEC9A,NDE,226
MRPL46,NDE,226
ARL9,NDE,225
MAGED1,NDE,225
CNTN5,NF,224
SLC22A3,NDE,224
CASC20,NF,224
CELF2,NDE,223
CNDP2,NDE,223
SCO2,NDE,223
CCDC12,NDE,223
LOC107985711,NF,223
EXTL3-AS1,NF,222
BRPF1,NDE,222
ZBTB45,NDE,221
LOC105369921,NF,221
LINC02410,NF,221
MTRF1L,NF,220
PRG3,NF,220
NCAPG2,NDE,220
LOC105376140,NF,219
LOC107984858,NF,219
LOC102724552,NF,219
LOC105369464,NF,218
GLS2,NDE,218
SETD1B,NDE,217
LOC107985534,NF,216
LOC105373633,NF,216
LOC101929294,NF,215
HERPUD1,NDE,215
LOC105373436,NF,215
SPINK9,NF,214
ADAMDEC1,NF,214
LOC107986362,NF,214
LOC101929653,NF,214
MEPE,NF,214
TMSB15B,NDE,213
MRPS6,NDE,212
LOC105373331,NF,212
PRDX1,NDE,212
LOC107986666,NF,211
ATAD1,NDE,210
EIF3M,NDE,210
STARD8,NDE,209
LOC107986569,NF,209
NCAPH2,NDE,209
RPS6KA3,NDE,209
ADTRP,NDE,209
NFAM1,NDE,208
C12orf60,NF,207
TUBA1C,NDE,207
DACH1,NDE,207
LOC107984431,NF,207
AFMID,NDE,206
LOC105372739,NF,206
PRORSD1P,NDE,205
LOC107983984,NF,205
SLC2A1,NDE,205
LOC105370460,NF,204
LOC105377346,NF,204
ERBB3,NDE,204
TBC1D14,NDE,203
NMUR2,NDE,203
SPINK7,NF,203
KRTAP2-3,NDE,203
AARS,NDE,202
OR51F2,NF,202
SLC6A15,NDE,202
LOC105376237,NF,201
LOC105373484,NF,200
CC2D1A,NDE,198
LURAP1L-AS1,NF,197
LURAP1L,NDE,197
ZNF34,NDE,197
NUP205,NDE,197
LOC105375127,NF,197
LOC100287477,NF,195
ZFHX3,NDE,195
LOC105369346,NF,193
AKAP7,NDE,192
TPRA1,NDE,191
LOC105372358,NF,191
MIR9-3HG,NDE,191
ARL5B,NDE,190
HS6ST2-AS1,NF,190
LOC101927094,NF,190
LOC105369784,NF,190
ANKFY1,NDE,188
ADAP1,NF,188
SUCLA2,NDE,186
FGGY,NDE,186
LOC105378319,NF,185
GALNS,NDE,185
FHL3,NDE,185
NHSL2,NF,184
CTNNA3,NF,183
ZNF17,NF,182
LINC01700,NF,182
EIF4E,NDE,181
PSMB7,NDE,180
RNF128,NDE,180
LOC100129034,NF,180
CDC45,NDE,179
LOC101927978,NF,179
COG1,NDE,178
TYW3,NDE,176
LOC102723878,NF,175
CST13P,NF,174
LOC102467217,NF,174
KCNK18,NDE,173
AGBL3,NDE,172
LOC101928961,NF,171
LRRTM3,NF,171
METTL24,NF,171
LOC105378761,NF,170
LOC105378760,NF,170
LOC102724586,NF,169
IL13RA1,NDE,168
NXT2,NDE,168
MAP3K20-AS1,NF,167
LOC105370492,NF,167
MAP3K20,NDE,167
BCO1,NDE,166
SLED1,NF,165
LINC00630,NDE,165
FAM168B,NDE,165
MROH7-TTC4,NF,165
GUCY2C,NDE,164
SPOCD1,NDE,163
LOC107985070,NF,162
THUMPD2,NDE,162
RDM1,NDE,162
MTA2,NDE,162
MROH7,NF,162
SCNN1B,NDE,162
LOC389602,NF,160
EARS2,NDE,160
WDTC1,NDE,159
RPGR,NDE,159
LOC107985179,NF,158
LOC105374557,NF,158
RUNDC1,NF,158
ZNF883,NF,158
DSCAS,NF,157
TGM3,NF,157
DSC1,NF,157
DLG3,NDE,157
HTR3C,NF,156
OR8G2P,NF,156
LOC102724410,NF,156
LOC105378977,NF,156
MEGF9,NDE,155
CUL4B,NDE,154
LINC02403,NF,154
LINC01484,NF,153
CCDC57,NDE,152
LOC105375703,NF,151
COL20A1,NDE,149
TMEM47,NDE,149
EIF4G3,NDE,149
LINC01914,NF,148
ZNF69,NDE,148
SHROOM2,NDE,147
LINC01541,NF,145
ZNF460,NF,145
FBXL8,NDE,142
HSF4,NF,142
TRADD,NDE,142
CTNS,NDE,141
LOC105371493,NF,141
LOC105372503,NF,140
LUZP4,NF,139
LRRC75A-AS1,NDE,138
LOC105377500,NF,138
CYP4F12,NDE,138
LOC105369826,NF,138
ZCCHC11,NDE,136
PGK1,NDE,136
RPL13AP20,NF,136
ANK2,NDE,135
LOC100996251,NF,135
LOC107985511,NF,133
LOC105375652,NF,133
PTDSS1,NDE,133
SPATA4,NF,132
FHL1,NDE,132
CELF2-AS1,NF,131
TTLL3,NDE,130
LOC105375578,NF,130
LOC100507205,NF,129
GLTP,NDE,129
FLJ44635,NF,128
PIK3R6,NDE,127
CEP128,NDE,127
MYO1C,NDE,126
LOC107985675,NF,126
SNX16,NDE,126
LOC105373303,NF,126
LOC105373150,NF,126
LOC105372360,NF,126
BIN2,NDE,125
PROM1,NDE,125
TMEM72-AS1,NF,124
LOC107986443,NF,124
LOC105373447,NF,124
ZNF225,NF,123
ZNF700,NDE,122
SPANXN2,NF,122
LOC105377373,NF,122
SMS,NDE,121
FBXL22,NDE,121
HERC1,NDE,121
RBFOX3,NDE,120
RBFOX1,NDE,120
FEZ2,NDE,120
CD8B2,NF,120
ST7L,NDE,120
TSPEAR-AS2,NDE,119
LOC102724421,NF,118
SLC25A33,NDE,117
CXorf36,NF,117
ZG16,NF,117
LINC02500,NF,117
LOC105379004,NF,116
LOC105374703,NF,115
LOC105377397,NF,115
LOC105370958,NF,115
MIR3681HG,NF,115
LOC105376830,NF,115
LOC101927182,NF,115
GTF2E2,NDE,115
SMIM18,NF,115
LOC105376829,NF,115
ACER2,NDE,115
LINC00644,NF,114
REEP5,NDE,114
LINC00907,NF,114
PLAC1,NDE,113
NMNAT1,NDE,113
LOC105372146,NF,112
MALT1,NDE,112
SAMD12,NF,111
BMP1,NDE,110
HYKK,NDE,110
SPRYD4,NDE,110
LOC105373665,NF,109
MTUS2,NDE,109
